,content_type,id,text,time,type,label
0,Comment,b'gAAAAABjLvrbMz1DP9NuKqNF1sKwklclYXB77_APPpbGUl9HUe82izG9ONIGOz1oB-6pSjnq7zldUWa7M8NzqkNcHgTrWFCuFWZht24whYnGOGkzSWSx_KU=',Hi Healing the Divide Why did I kena censored in the telegram chat when I felt that I was just trying to be as polite and respectful as possible?,2021-11-24 18:53:08,comment,Others
1,Comment,b'gAAAAABjLvrbdaF_OuS8k4JPxBCmGJqZ62nxlmwyO7Al9jlWYHrS8gxZH4XOpQA38t1Y_1wpdUUsTc8zxGr_NWFAAvBPfviu6s-KcgkloTFiXs7vj3H5VSY=',"Father God is watching what's going on in the earth..... As per Kat Kerr, He is never glue to His Throne",2021-11-24 18:53:11,comment,Conspiracy_Control&Manip
2,Comment,b'gAAAAABjLvrb9Siosaam0Fd45-MbpDWCnzffwoOxN7a8o3IlzbUFbN9lAIb5DhV7lPTcoTSp4nUJqj8rR5mEEbXMpkKAEKX5jUS8nWd9mBaWCaA4R3iz-1I=',Toto Teosinte,2021-11-24 18:53:11,comment,Others
3,Comment,b'gAAAAABjLvrbH8cm5aYDWCBWr3N_SGc5ZG9SzjZa8w7KBkalpbaaQDRNJnaIzMeFcZ5QXU-Hftqgkrf-1g1UvdoemJZOLN_gZ7l0-bHui6Xf_6LCgUDxSv0=',"Living in Singapore is expensive and stressful enough, how many of us want to face off with Government Ministry, Ministers, POFMA, FICA, Mayors, Government Linked Companies, millionaires, billionaire Chairman, CEO, expensive and frightening letter from top top top Law Firms !?!?  But thankfully, there are brave hero like Indonesian Ms Parti Liyani, her Pro Bono Lawyer, Iris Koh, Terry Xu, Amos Yee, Jade Rasif, Goh Meng Seng, Lim Tean, Tan Kin Lian, Dr Paul Tambyah, Dr Chee Soon Juan, the few Singaporean Patriotic doctors who dare to write to MOH when it comes to wearing Masks and staying cautious about new and rushed technology like mRNA......  Not everyone in Singapore, is a ""Yes Sir Yes Madam""......tha nkfully......",2021-11-24 18:53:11,comment,Compliments
4,Comment,b'gAAAAABjLvrbHRlS3tFOSqFUGV1EGNRuh9zP7aseu-agV3Y_0_d9Pbj2YC4B2ZzsZjKVhLdOGCUnw_MzTB6FutNMe_lfJ66gobvhmSLFdXBFO62lZ4vVOiQ=',Geraldine Ang,2021-11-24 18:53:12,comment,Others
5,Comment,b'gAAAAABjLvrbHIp0elS9btbuYFkt-Y5p3gkSfbL-thEhtar2ub4JCX5Z7kyMWdlCxmzL7JHSAHeVJ1kMQfl_yI7pUrGVMmqExn-lE1DrAGlHofqgVkNyc84=',https://t.co/ ubrx01I6T3  God's Alarm Bell to the wicked people by Prophet Kent Christmas at end of video,2021-11-24 18:53:12,comment,Conspiracy_VirusOrigins
6,Comment,b'gAAAAABjLvrbApAm4TkshGj22mNcsqOYjrM5CZhvmKAkly4Cui0fbO--52HWmQP7MvAMjFs-XW1N4z9_HAcGdB6cuXEGyyxrrjPdPqKDK-eMwkdmPYNTKAg=',Will he let u down.  https:// www.straitstimes .com/singapore/ courts-crime/ bus-drivers-disc harge-m-ravi-fr om-sbs-transit- lawsuit-saying- he-let-them-dow n,2021-11-24 18:53:12,comment,Complaints
7,Comment,b'gAAAAABjLvrbxtnk1YAWQIVSgLCxK8ahU4_uF_5CNk7VwhV8U1ikrUlnJr6fBzAa3-js6cjEXmY_uUB2W23nxFTDQMItnoq4Iu9L89XTR7hde-7mEhthAlM=',Thank u Ms Iris and M Ravi....,2021-11-24 18:53:13,comment,Compliments
8,Comment,b'gAAAAABjLvrbr6wiVxhwcDcXGbR_tYQdrhb0QFAuJ0Jy2gEqdtnzPtu75SlUqU9k2b52ZAcmC-AgBkcyMwC4WaKByn3aCkyRk5DBFflpPepVNG3VLGIBwE4=',"Every country is at e mercy of big pharma...big pharma control e news media n e puppet politicians in every country....all are afraid to speak science n facts....big pharma use tis fake pandemic to recover billions tat it lost in RND......tis entire pandemic is fake, is a aggresive business strategy to force sell vaccines to eveey country....coun try tat do not buy e vaccines....wil l b sabotage by news media of havin high covid infection n deaths due to covid....all is scam...hope ppl ask questions n wake up...",2021-11-24 18:53:13,comment,Conspiracy_Control&Manip
9,Comment,b'gAAAAABjLvrb_iOyp4KveT9pEqwXOChJ-3ZQRnV8WpMzGj5SpkVvnxgUjoiKJy4nLRGnmtR3Rd1YiGFsX6GA4dgt8iJNzfMiilW7_6qMA7jJpm0MRYIrzdo=',18 mths i dont knw anyone havin covid19....but whn i on e CNA news.....all i hear is covid19 news....tis shameless CNA reporters hav lied n fear mongered e public wit covid19 news....wch even e CNA reporters unable to verify......but expect us to belive their covid19 lies.....phew.. .,2021-11-24 18:53:13,comment,Conspiracy_ConcealingTruth
