,Unnamed: 0.1,Unnamed: 0,group,post_id,text,comment_id,comment_time,type,comment_pred_prob,label,emotional_analysis,emotion,score,processed_text,aspects,aspect_f
0,0,0,0,b'gAAAAABjLvrbdzkEZejvmMaD3jhEW2xLa2rdlF12CRFTzQdM1N1O4MjHiA84eeKTJ1lcOAWxiKXbMI2_hA-FiA3dBdMRiTvsaG4np6Mo0pJjomsSXyBDJDE=',Hi Healing the Divide Why did I kena censored in the telegram chat when I felt that I was just trying to be as polite and respectful as possible?,b'gAAAAABjLvrbMz1DP9NuKqNF1sKwklclYXB77_APPpbGUl9HUe82izG9ONIGOz1oB-6pSjnq7zldUWa7M8NzqkNcHgTrWFCuFWZht24whYnGOGkzSWSx_KU=',2021-11-24 18:53:08,comment,0.999824583530426,Others,"{'label': 'joy', 'score': 0.7097858190536499}",joy,0.7097858190536499,hi healing the divide why did i kena censored in the telegram chat when i felt that i wa just trying to be a polite and respectful a possible,[],
1,1,1,0,b'gAAAAABjLvrb0Npi7ZGe_rQcZQNjEG_HD7t1r9TUO92TQQaOMuaB__h0ARtuRIuOp1FxqZ5JfkhpaVYnV08Fw1ZMbysvvmPTn76G03o96-Zz15Is2QTQZhw=',"Father God is watching what's going on in the earth..... As per Kat Kerr, He is never glue to His Throne",b'gAAAAABjLvrbdaF_OuS8k4JPxBCmGJqZ62nxlmwyO7Al9jlWYHrS8gxZH4XOpQA38t1Y_1wpdUUsTc8zxGr_NWFAAvBPfviu6s-KcgkloTFiXs7vj3H5VSY=',2021-11-24 18:53:11,comment,0.999054014682769,Conspiracy_Control&Manip,"{'label': 'anger', 'score': 0.9228198528289795}",anger,0.9228198528289796,father god is watching going on in the earth a per kat kerr he is never glue to his throne,['father'],father
2,2,2,0,b'gAAAAABjLvrb3W3z--AsrO1si5aKydeAmrNbglLKjVCD4OSj3eMh6K6Pxu2hOT91NL2rmLtaQKtpjrUIOoAxlZkQ3CNAigniuC8QO8wu4mivaetAEO6Y4iI=',Toto Teosinte,b'gAAAAABjLvrb9Siosaam0Fd45-MbpDWCnzffwoOxN7a8o3IlzbUFbN9lAIb5DhV7lPTcoTSp4nUJqj8rR5mEEbXMpkKAEKX5jUS8nWd9mBaWCaA4R3iz-1I=',2021-11-24 18:53:11,comment,0.999911785125732,Others,"{'label': 'anger', 'score': 0.5333788990974426}",anger,0.5333788990974426,toto teosinte,[],
3,3,3,0,b'gAAAAABjLvrbHWyci7Rk4VVhe3pLHyE2adg_o-VOKR7Ap3mZmshd7QrK56RT49q9GfbnEMm_YBpGW-6-kJi-aoleSPS3hv0LUwKnJq0_gysmfng-RPIRfmM=',"Living in Singapore is expensive and stressful enough, how many of us want to face off with Government Ministry, Ministers, POFMA, FICA, Mayors, Government Linked Companies, millionaires, billionaire Chairman, CEO, expensive and frightening letter from top top top Law Firms !?!?  But thankfully, there are brave hero like Indonesian Ms Parti Liyani, her Pro Bono Lawyer, Iris Koh, Terry Xu, Amos Yee, Jade Rasif, Goh Meng Seng, Lim Tean, Tan Kin Lian, Dr Paul Tambyah, Dr Chee Soon Juan, the few Singaporean Patriotic doctors who dare to write to MOH when it comes to wearing Masks and staying cautious about new and rushed technology like mRNA......  Not everyone in Singapore, is a ""Yes Sir Yes Madam""......tha nkfully......",b'gAAAAABjLvrbH8cm5aYDWCBWr3N_SGc5ZG9SzjZa8w7KBkalpbaaQDRNJnaIzMeFcZ5QXU-Hftqgkrf-1g1UvdoemJZOLN_gZ7l0-bHui6Xf_6LCgUDxSv0=',2021-11-24 18:53:11,comment,0.999639630317688,Compliments,"{'label': 'joy', 'score': 0.8475425243377686}",joy,0.8475425243377686,living in singapore is expensive and stressful enough how many of u want to face off with government ministry minister pofma fica mayor government linked company millionaire billionaire chairman ceo expensive and frightening letter from top top top law firm but thankfully there are brave hero like indonesian m parti liyani her pro bono lawyer iris koh terry xu amos yee jade rasif goh meng seng lim tean tan kin lian dr paul tambyah dr chee soon juan the few singaporean patriotic doctor who dare to write to moh when it come to wearing mask and staying cautious about new and rushed technology like mrna not everyone in singapore is a yes sir yes madam tha nkfully,[],
4,4,4,0,b'gAAAAABjLvrbbJilS1JbfzeX8yHkEN9GA5jtabKdcoE6ifb2HAlE23bNm_Efl5NkFWf7bW6AAi2Kmk1qgFy9FEGwSwtUne6K7SwJTlKo_07zA6az-tAq_RY=',Geraldine Ang,b'gAAAAABjLvrbHRlS3tFOSqFUGV1EGNRuh9zP7aseu-agV3Y_0_d9Pbj2YC4B2ZzsZjKVhLdOGCUnw_MzTB6FutNMe_lfJ66gobvhmSLFdXBFO62lZ4vVOiQ=',2021-11-24 18:53:12,comment,0.937973856925964,Others,"{'label': 'anger', 'score': 0.6172919869422913}",anger,0.6172919869422913,geraldine ang,[],
5,5,5,0,b'gAAAAABjLvrbzLW5RD9rEvAHsmjC8ETtZ6rCO36ZrqxC5AH8eYlXH6mmRxQ-hs-kSLA5aTxttyIdLhEWvqEH2k3osSOd-1nXC0X11YZV10rmjbhzi9vmN6A=',https://t.co/ ubrx01I6T3  God's Alarm Bell to the wicked people by Prophet Kent Christmas at end of video,b'gAAAAABjLvrbHIp0elS9btbuYFkt-Y5p3gkSfbL-thEhtar2ub4JCX5Z7kyMWdlCxmzL7JHSAHeVJ1kMQfl_yI7pUrGVMmqExn-lE1DrAGlHofqgVkNyc84=',2021-11-24 18:53:12,comment,0.924155533313751,Conspiracy_VirusOrigins,"{'label': 'anger', 'score': 0.9847204685211182}",anger,0.9847204685211182,ubrx alarm bell to the wicked people by prophet kent christmas at end of video,[],
6,6,6,0,b'gAAAAABjLvrbciW1lAicz1w5_zx7kHh_Z4ruA9YNQ1knyPGbrziRSgm9bDIWHapZ8ijw-rlZbPd-t5DUJUcO6_eTWZDIVeo4iKog0h7zhL4ksielcq9BPgw=',Will he let u down.  https:// www.straitstimes .com/singapore/ courts-crime/ bus-drivers-disc harge-m-ravi-fr om-sbs-transit- lawsuit-saying- he-let-them-dow n,b'gAAAAABjLvrbApAm4TkshGj22mNcsqOYjrM5CZhvmKAkly4Cui0fbO--52HWmQP7MvAMjFs-XW1N4z9_HAcGdB6cuXEGyyxrrjPdPqKDK-eMwkdmPYNTKAg=',2021-11-24 18:53:12,comment,0.758835196495056,Complaints,"{'label': 'anger', 'score': 0.9247351288795471}",anger,0.9247351288795472,will he let u down http com singapore n,[],
7,7,7,0,b'gAAAAABjLvrbc5VW6sHIqE_01BWhEi8s_lAOSbHuCIL_qEWjIxuQWjxJefewXE53i5_TxeP-jSNtWk6MUzY5GmdaHd4r6J3JijLnT3gcjMNnUBzUOHcy3I8=',Thank u Ms Iris and M Ravi....,b'gAAAAABjLvrbxtnk1YAWQIVSgLCxK8ahU4_uF_5CNk7VwhV8U1ikrUlnJr6fBzAa3-js6cjEXmY_uUB2W23nxFTDQMItnoq4Iu9L89XTR7hde-7mEhthAlM=',2021-11-24 18:53:13,comment,0.989801704883575,Compliments,"{'label': 'joy', 'score': 0.9799154996871948}",joy,0.9799154996871948,thank u m iris and m ravi,['iris'],iris
8,8,8,0,b'gAAAAABjLvrbpIqLZSdELP4sXXNSUSiD92yZrHHb5NXFlkCn8Alm06582j9zIDdt9QZW_k41ngF4B3PPjX1lG-NA8Z-pzJfItU1Hq_tkm-0fVe7kdGzgSPI=',"Every country is at e mercy of big pharma...big pharma control e news media n e puppet politicians in every country....all are afraid to speak science n facts....big pharma use tis fake pandemic to recover billions tat it lost in RND......tis entire pandemic is fake, is a aggresive business strategy to force sell vaccines to eveey country....coun try tat do not buy e vaccines....wil l b sabotage by news media of havin high covid infection n deaths due to covid....all is scam...hope ppl ask questions n wake up...",b'gAAAAABjLvrbr6wiVxhwcDcXGbR_tYQdrhb0QFAuJ0Jy2gEqdtnzPtu75SlUqU9k2b52ZAcmC-AgBkcyMwC4WaKByn3aCkyRk5DBFflpPepVNG3VLGIBwE4=',2021-11-24 18:53:13,comment,0.999744474887847,Conspiracy_Control&Manip,"{'label': 'sadness', 'score': 0.8649296164512634}",sadness,0.8649296164512634,every country is at e mercy of big pharma big pharma control e news medium n e puppet politician in every country all are afraid to speak science n fact big pharma use ti fake pandemic to recover billion tat it lost in rnd ti entire pandemic is fake is a aggresive business strategy to force sell vaccine to eveey country coun try tat do not buy e vaccine wil l b sabotage by news medium of havin high covid infection n death due to covid all is scam hope ppl ask question n wake up,[],
9,9,9,0,b'gAAAAABjLvrbZHqo_h5uQ4rwbBRERXhIWZwcV-6HHBhPaQF7heSIPjADypJS1XDgmnr_u9ciEwIOCM3OfTftze61VXOU-m3sdslGSPDv_g8_8iF3Fck343M=',18 mths i dont knw anyone havin covid19....but whn i on e CNA news.....all i hear is covid19 news....tis shameless CNA reporters hav lied n fear mongered e public wit covid19 news....wch even e CNA reporters unable to verify......but expect us to belive their covid19 lies.....phew.. .,b'gAAAAABjLvrb_iOyp4KveT9pEqwXOChJ-3ZQRnV8WpMzGj5SpkVvnxgUjoiKJy4nLRGnmtR3Rd1YiGFsX6GA4dgt8iJNzfMiilW7_6qMA7jJpm0MRYIrzdo=',2021-11-24 18:53:13,comment,0.999627232551574,Conspiracy_ConcealingTruth,"{'label': 'anger', 'score': 0.9389458298683167}",anger,0.9389458298683168,mths i dont knw anyone havin covid but whn i on e cna news all i hear is covid news ti shameless cna reporter hav lied n fear mongered e public wit covid news wch even e cna reporter unable to verify but expect u to belive their covid lie phew,['cna'],cna
