original_text,cleaned_text,Topic
Hi Healing the Divide Why did I kena censored in the telegram chat when I felt that I was just trying to be as polite and respectful as possible?,hi healing divide affected by negatively censored telegram chat felt trying polite respectful possible,1
"Father God is watching what's going on in the earth..... As per Kat Kerr, He is never glue to His Throne",father god watching going earth per kat kerr never glue throne,1
Toto Teosinte,toto teosinte,1
"Living in Singapore is expensive and stressful enough, how many of us want to face off with Government Ministry, Ministers, POFMA, FICA, Mayors, Government Linked Companies, millionaires, billionaire Chairman, CEO, expensive and frightening letter from top top top Law Firms !?!?  But thankfully, there are brave hero like Indonesian Ms Parti Liyani, her Pro Bono Lawyer, Iris Koh, Terry Xu, Amos Yee, Jade Rasif, Goh Meng Seng, Lim Tean, Tan Kin Lian, Dr Paul Tambyah, Dr Chee Soon Juan, the few Singaporean Patriotic doctors who dare to write to MOH when it comes to wearing Masks and staying cautious about new and rushed technology like mRNA......  Not everyone in Singapore, is a ""Yes Sir Yes Madam""......tha nkfully......",living singapore expensive stressful enough many us want face government ministry ministers protection of online falsehoods and misinformations act foreign interference countermeasures act mayors government linked companies millionaires billionaire chairman ceo expensive frightening letter top top top law firms thankfully brave hero like indonesian ms parti liyani pro bono lawyer iris koh terry xu amos yee jade rasif goh meng seng lim tean tan kin lian doctor paul tambyah doctor chee soon juan singapore citizens patriotic doctors dare write ministry of health comes wearing masks staying cautious new rushed technology like mrna everyone singapore yes sir yes madam tha nkfully,1
Geraldine Ang,geraldine ang,1
https://t.co/ ubrx01I6T3  God's Alarm Bell to the wicked people by Prophet Kent Christmas at end of video,ubrx alarm bell wicked people prophet kent christmas end video,1
Will he let u down.  https:// www.straitstimes .com/singapore/ courts-crime/ bus-drivers-disc harge-m-ravi-fr om-sbs-transit- lawsuit-saying- he-let-them-dow n,let https skeptical annoyed undecided uneasy hesitant com singapore n,0
Thank u Ms Iris and M Ravi....,thank ms iris ravi,1
"Every country is at e mercy of big pharma...big pharma control e news media n e puppet politicians in every country....all are afraid to speak science n facts....big pharma use tis fake pandemic to recover billions tat it lost in RND......tis entire pandemic is fake, is a aggresive business strategy to force sell vaccines to eveey country....coun try tat do not buy e vaccines....wil l b sabotage by news media of havin high covid infection n deaths due to covid....all is scam...hope ppl ask questions n wake up...",every country e mercy big pharmaceutical industry big pharmaceutical industry control e news media n e puppet politicians every country afraid speak science n facts big pharmaceutical industry use fake pandemic recover billions tat lost rnd entire pandemic fake aggresive business strategy force sell vaccines eveey country coun try tat buy e vaccines wil l b sabotage news media havin high covid infection n deaths due covid scam hope people ask questions n wake,1
18 mths i dont knw anyone havin covid19....but whn i on e CNA news.....all i hear is covid19 news....tis shameless CNA reporters hav lied n fear mongered e public wit covid19 news....wch even e CNA reporters unable to verify......but expect us to belive their covid19 lies.....phew.. .,mths knw anyone havin covid whn e cna news hear covid news shameless cna reporters hav lied n fear mongered e public wit covid news wch even e cna reporters unable verify expect us belive covid lies phew,1
"80% of vaccinated ppl got cheated ....they rush to take e snake oil MRNA vaccine hoping all will be ok....but now aft 80% vaccinated e covid cases are worse thn b4 vaccine....nw e vaccinated ppl are askin ....if e vaccine reli giv protection? aft vaccine still need to wear mask? and now ppl are urge to take booster shots? thn why e hell ppl are force to take e 2 snake oil MRNA vaccines, whn it does not give protection? So how mny booster shots mus e public take to get our life back to normal? Wats goin on?",vaccinated people got cheated rush take e snake oil mrna vaccine hoping ok aft vaccinated e covid cases worse thn vaccine nw e vaccinated people askin e vaccine really giv protection aft vaccine still need wear mask people urge take booster shots thn e hell people force take e snake oil mrna vaccines whn give protection mny booster shots mus e public take get life back normal wats goin,1
1. In 2015 bill gates went to TEDTALK and talk about future pandemic and how the world shld prepare for e nxt pandemic...and 2020 we hav a pandemic? 2. In 2017 Dr fauci ( dr death) said confidently there will be pandemic outbreak in e trump administration. ...and 2020 we hav a pandemic? 3. In 2019 november there was pandemic simultion exercise called (EVENT201) sponsored by bill gates.....and in 2020 we have a real pandemic....wow so many coincidence? Or was all tis planned years ago..? This is not a pandemic but is a PLANDEMIC....it was plan to happen....,bill gates went tedtalk talk future pandemic world shld prepare e next pandemic hav pandemic doctor fauci doctor death said confidently pandemic outbreak e trump administration hav pandemic november pandemic simultion exercise called event sponsored bill gates real pandemic wow many coincidence planned years ago pandemic plandemic plan happen,1
"Talk so mch abt endemic....but we are worse off thn last year. Last year 90% case were frm domitories....m ost were quraninte for 2 weeks n recovered jus like if a person gets a flu virus....hopita ls also were not over crowded or no one in ICU so foreigners hav better immune system thn us? Even though they live cluster togetr n not so good living condition....fa st forward aft 18 mths and 80% vaccinated now e cases are worse thn last year? Any one wit logic can easily see e b4 and after effect of tis covid vaccine. Is it really efrective? 1st say e vaccine will prevent e spread of covid....but it did not,... 2nd say e vaccine will help to protect us frm severe illness....nvr say wat illness.... but also it did not protect us, now e 3rd pattern is vaccine will not over crowd e hospitals? wats goin on? So who is over crowding e hospitals...e vaccinated or unvaccinated? If 80% are already vaccinated....h ow can e 20% be e cause of the over crowd in hospitals or e increase in covid cases right now? It defies all logic....",talk mch endemic worse thn last year last year case frm domitories ost quraninte weeks n recovered jus like person gets flu virus hopita ls also crowded one intensive care unit foreigners hav better immune system thn us even though live cluster togetr n good living condition fa st forward aft mths vaccinated e cases worse thn last year one wit logic easily see e effect covid vaccine really efrective say e vaccine prevent e spread covid say e vaccine help protect us frm severe illness nvr say wat illness also protect us e pattern vaccine crowd e hospitals wats goin crowding e hospitals e vaccinated unvaccinated already vaccinated h ow e e crowd hospitals e increase covid cases right defies logic,1
疯子找疯子。,疯子找疯子,1
https:// twitter.com/ barnes_law/ status/ 1465410844628426 752?t=6AcgQhgBO PKHw5UGEjpEDw&s =19,https skeptical annoyed undecided uneasy hesitant status pkhw,0
Not being a party pooper but he does realize there is no legal precedent for this? Other similar actions brought in other commonwealth countries have been shot down.,party pooper realize legal precedent similar actions brought commonwealth countries shot,1
https:// elijahlist.com/ words/ display_word.htm l?ID=26486,https skeptical annoyed undecided uneasy hesitant words htm l id,0
Pam Cheong Cheong,pam cheong cheong,1
Healing the Divide  Now Iris is the target of PAP group  Read the page here  https:// www.facebook.com / 429697574435976/ posts/ 1160193421386384 /,healing divide iris target incumbent government group read page https skeptical annoyed undecided uneasy hesitant posts,0
https:// www.forbes.com/ sites/joewalsh/ 2021/11/30/ judge-halts-bide ns-covid-vaccin e-mandate-for-h ealthcare-worke rs-nationwide/ amp/,https skeptical annoyed undecided uneasy hesitant sites joewalsh amp,0
"LOL this is truly a match made in heaven. The crazy anti-vaxxers truly deserve this fella, vice versa.",lol truly match made heaven crazy truly deserve fella vice versa,1
They are Not anti vaxxers. They are anti coercion.,anti vaxxers anti coercion,1
Immuno-Erosion  https:// www.bitchute.com /video/ Hg1icQucDGc5/,https skeptical annoyed undecided uneasy hesitant video,0
https:// youtu.be/ nwVr2ln_030,https skeptical annoyed undecided uneasy hesitant nwvr,0
"At end of video through Robin Father God says Now its Lifting of heads, Games Over https:// www.facebook.com / 204961229556578/ posts/ 5031102876942365 /",end video robin father god says lifting heads games https skeptical annoyed undecided uneasy hesitant posts,1
